SRC TRG WINS TOTAL CLUSTER_START CLUSTER_END END_OF_CLUSTER SYSTEM
de en 15 20 1 4 False Borderline.4
de en 13 20 1 4 False Online-A.12
de en 16 20 1 4 False Online-W.3
de en 16 20 1 4 True UF.15
de en 11 20 5 20 False VolcTrans-AT.0
de en 11 20 5 20 False Facebook-AI.16
de en 8 20 5 20 False ICL.5
de en 8 20 5 20 False Online-G.14
de en 3 20 5 20 False Online-B.11
de en 3 20 5 20 False Online-Y.1
de en 3 20 5 20 False VolcTrans-GLAT.10
de en 4 20 5 20 False P3AI.18
de en 1 20 5 20 False SMU.17
de en 3 20 5 20 False UEdin.9
de en 3 20 5 20 False Nemo.7
de en 1 20 5 20 False Manifold.2
de en 0 20 5 20 False Watermelon.13
de en 3 20 5 20 False happypoet.8
de en 0 20 5 20 False HUMAN.0
de en 0 20 5 20 True HuaweiTSC.6
ru en 6 11 1 11 False Nemo.3
ru en 7 11 1 11 False Online-W.2
ru en 4 11 1 11 False Online-B.4
ru en 4 11 1 11 False HUMAN.0
ru en 4 11 1 11 False Manifold.1
ru en 4 11 1 11 False Facebook-AI.8
ru en 3 11 1 11 False NiuTrans.7
ru en 1 11 1 11 False Online-G.6
ru en 0 11 1 11 False AFRL.9
ru en 0 11 1 11 False Online-A.5
ru en 0 11 1 11 True Online-Y.0
cs en 7 9 1 2 False Facebook-AI.7
cs en 7 9 1 2 True Online-A.5
cs en 3 9 3 9 False CUNI-DocTransformer.4
cs en 3 9 3 9 False Online-B.0
cs en 1 9 3 9 False CUNI-Transformer2018.1
cs en 1 9 3 9 False Online-W.2
cs en 0 9 3 9 False Online-G.6
cs en 0 9 3 9 False Online-Y.3
cs en 0 9 3 9 True HUMAN.0
zh en 19 24 1 24 False NiuTrans.21
zh en 17 24 1 24 False KwaiNLP.18
zh en 18 24 1 24 False DIDI-NLP.0
zh en 15 24 1 24 False HUMAN.0
zh en 15 24 1 24 False HappyNewYear.16
zh en 13 24 1 24 False P3AI.4
zh en 5 24 1 24 False Borderline.1
zh en 6 24 1 24 False ICL.11
zh en 5 24 1 24 False MiSS.8
zh en 7 24 1 24 False IIE-MT.6
zh en 2 24 1 24 False Machine_Translation.19
zh en 3 24 1 24 False SMU.2
zh en 3 24 1 24 False yyds.9
zh en 4 24 1 24 False Facebook-AI.5
zh en 3 24 1 24 False Online-B.13
zh en 3 24 1 24 False ZengHuiMT.7
zh en 3 24 1 24 False HuaweiTSC.20
zh en 2 24 1 24 False XMU.17
zh en 0 24 1 24 False NJUSC_TSC.3
zh en 0 24 1 24 False Online-G.15
zh en 2 24 1 24 False Online-W.10
zh en 0 24 1 24 False UF.22
zh en 0 24 1 24 False Online-A.14
zh en 0 24 1 24 True Online-Y.12
is en 9 10 1 1 True Facebook-AI.8
is en 8 10 2 2 True Manifold.0
is en 3 10 3 9 False NiuTrans.7
is en 2 10 3 9 False Online-B.4
is en 3 10 3 9 False HuaweiTSC.9
is en 3 10 3 9 False Mideind.1
is en 1 10 3 9 False Online-A.5
is en 1 10 3 9 False Allegro.eu.2
is en 1 10 3 9 True Online-Y.3
is en 0 10 10 10 True Online-G.6
ha en 13 14 1 1 True Facebook-AI.11
ha en 10 14 2 13 False Online-B.8
ha en 7 14 2 13 False TRANSSION.6
ha en 8 14 2 13 False ZMT.12
ha en 8 14 2 13 False GTCOM.2
ha en 5 14 2 13 False HuaweiTSC.4
ha en 5 14 2 13 False MS-EgDC.13
ha en 4 14 2 13 False P3AI.9
ha en 4 14 2 13 False NiuTrans.10
ha en 3 14 2 13 False Online-Y.5
ha en 2 14 2 13 False Manifold.1
ha en 1 14 2 13 False AMU.3
ha en 1 14 2 13 True UEdin.7
ha en 0 14 14 14 True TWB.0
ja en 15 16 1 1 True HuaweiTSC.5
ja en 11 16 2 16 False IIE-MT.0
ja en 10 16 2 16 False NiuTrans.12
ja en 7 16 2 16 False KwaiNLP.2
ja en 10 16 2 16 False Facebook-AI.4
ja en 5 16 2 16 False XMU.10
ja en 6 16 2 16 False capitalmarvel.1
ja en 5 16 2 16 False Online-B.7
ja en 5 16 2 16 False MiSS.13
ja en 5 16 2 16 False Online-W.15
ja en 4 16 2 16 False WeChat-AI.11
ja en 2 16 2 16 False Online-A.8
ja en 0 16 2 16 False Online-G.9
ja en 0 16 2 16 False movelikeajaguar.14
ja en 0 16 2 16 False Online-Y.6
ja en 0 16 2 16 True Illini.3
