SRC TRG WINS TOTAL CLUSTER_START CLUSTER_END END_OF_CLUSTER SYSTEM
zu xh 4 5 1 1 True TRANSSION.2
zu xh 2 5 2 4 False HuaweiTSC.0
zu xh 1 5 2 4 False MS-EgDC.4
zu xh 1 5 2 4 True GTCOM.3
zu xh 0 5 5 5 True Online-G.1
bn hi 7 9 1 2 False GTCOM.0
bn hi 7 9 1 2 True Online-B.5
bn hi 4 9 3 8 False TRANSSION.3
bn hi 3 9 3 8 False MS-EgDC.8
bn hi 3 9 3 8 False UEdin.4
bn hi 1 9 3 8 False Online-Y.2
bn hi 1 9 3 8 False HuaweiTSC.1
bn hi 1 9 3 8 True Online-A.6
bn hi 0 9 9 9 True Online-G.7
xh zu 3 6 1 3 False HuaweiTSC.2
xh zu 3 6 1 3 False TRANSSION.3
xh zu 3 6 1 3 True GTCOM.1
xh zu 1 6 4 5 False MS-EgDC.5
xh zu 1 6 4 5 True FJDMATH.0
xh zu 0 6 6 6 True Online-G.4
hi bn 5 9 1 4 False HuaweiTSC.1
hi bn 5 9 1 4 False Online-A.6
hi bn 5 9 1 4 False GTCOM.0
hi bn 5 9 1 4 True UEdin.4
hi bn 3 9 5 8 False Online-Y.2
hi bn 2 9 5 8 False TRANSSION.3
hi bn 3 9 5 8 False Online-B.5
hi bn 1 9 5 8 True MS-EgDC.8
hi bn 0 9 9 9 True Online-G.7
